"","datetime","date","ra1","ra2","raw","ra","comment","chk_note","chk_fail","year"
"210","28/07/1972 08:55:00",1972-07-28,0,0,0,0,"","good","",1972
"211","29/07/1972 08:55:00",1972-07-29,0,0,0,0,"","good","",1972
"212","30/07/1972 08:55:00",1972-07-30,0,0,0,0,"","good","",1972
"213","31/07/1972 08:55:00",1972-07-31,0.508,0,0.508,0.508,"","good","",1972
"214","1/8/72 8:55",1972-08-01,0,0,0,0,"","good","",1972
"215","2/8/72 8:55",1972-08-02,0,0,0,0,"","good","",1972
"216","3/8/72 8:55",1972-08-03,0,0,0,0,"","good","",1972
"217","4/8/72 8:55",1972-08-04,0,0,0,0,"","good","",1972
"218","5/8/72 8:55",1972-08-05,0,0,0,0,"","good","",1972
"219","6/8/72 8:55",1972-08-06,0,0,0,0,"","good","",1972
"220","7/8/72 8:55",1972-08-07,0,0,0,0,"","good","",1972
"221","8/8/72 8:55",1972-08-08,0.762,0,0.762,0.762,"","good","",1972
"222","9/8/72 8:55",1972-08-09,0,0,0,0,"","good","",1972
"223","10/8/72 8:55",1972-08-10,4.064,0,4.064,4.064,"","good","",1972
"224","11/8/72 8:55",1972-08-11,0,0,0,0,"","good","",1972
"225","12/8/72 8:55",1972-08-12,0,0,0,0,"","good","",1972
"226","13/08/1972 08:55:00",1972-08-13,18.034,0,18.034,18.034,"","good","",1972
"227","14/08/1972 08:55:00",1972-08-14,1.524,0,1.524,1.524,"","good","",1972
"228","15/08/1972 08:55:00",1972-08-15,32.512,0,32.512,32.512,"","good","",1972
"229","16/08/1972 08:55:00",1972-08-16,0.762,0,0.762,0.762,"","good","",1972
"230","17/08/1972 08:55:00",1972-08-17,0.254,0,0.254,0.254,"","good","",1972
"231","18/08/1972 08:55:00",1972-08-18,6.096,0,6.096,6.096,"","good","",1972
"232","19/08/1972 08:55:00",1972-08-19,0.508,0,0.508,0.508,"","good","",1972
"233","20/08/1972 08:55:00",1972-08-20,6.858,0,6.858,6.858,"","good","",1972
"234","21/08/1972 08:55:00",1972-08-21,1.27,0,1.27,1.27,"","good","",1972
"235","22/08/1972 08:55:00",1972-08-22,3.048,0,3.048,3.048,"","good","",1972
"236","23/08/1972 08:55:00",1972-08-23,24.384,0,24.384,24.384,"","good","",1972
"237","24/08/1972 08:55:00",1972-08-24,0,0,0,0,"","good","",1972
"238","25/08/1972 08:55:00",1972-08-25,38.608,0,38.608,38.608,"","good","",1972
"239","26/08/1972 08:55:00",1972-08-26,32.512,0,32.512,32.512,"","good","",1972
"240","27/08/1972 08:55:00",1972-08-27,46.99,0,46.99,46.99,"","good","",1972
"241","28/08/1972 08:55:00",1972-08-28,0.508,0,0.508,0.508,"","good","",1972
"242","29/08/1972 08:55:00",1972-08-29,13.462,0,13.462,13.462,"","good","",1972
"243","30/08/1972 08:55:00",1972-08-30,0,0,0,0,"","good","",1972
"244","31/08/1972 08:55:00",1972-08-31,4.572,0,4.572,4.572,"","good","",1972
"245","1/9/72 8:55",1972-09-01,14.986,0,14.986,14.986,"","good","",1972
"246","2/9/72 8:55",1972-09-02,0.254,0,0.254,0.254,"","good","",1972
"247","3/9/72 8:55",1972-09-03,22.352,0,22.352,22.352,"","good","",1972
"248","4/9/72 8:55",1972-09-04,9.144,0,9.144,9.144,"","good","",1972
"249","5/9/72 8:55",1972-09-05,0,0,0,0,"","good","",1972
"250","6/9/72 8:55",1972-09-06,0.254,0,0.254,0.254,"","good","",1972
"251","7/9/72 8:55",1972-09-07,1.524,0,1.524,1.524,"","good","",1972
"252","8/9/72 8:55",1972-09-08,0.762,0,0.762,0.762,"","good","",1972
"253","9/9/72 8:55",1972-09-09,2.54,0,2.54,2.54,"","good","",1972
"254","10/9/72 8:55",1972-09-10,10.414,0,10.414,10.414,"","good","",1972
"255","11/9/72 8:55",1972-09-11,28.448,0,28.448,28.448,"","good","",1972
"256","12/9/72 8:55",1972-09-12,9.652,0,9.652,9.652,"","good","",1972
"257","13/09/1972 08:55:00",1972-09-13,5.842,0,5.842,5.842,"","good","",1972
"258","14/09/1972 08:55:00",1972-09-14,9.906,0,9.906,9.906,"","good","",1972
"259","15/09/1972 08:55:00",1972-09-15,19.812,0,19.812,19.812,"","good","",1972
"260","16/09/1972 08:55:00",1972-09-16,72.39,0,72.39,72.39,"","good","",1972
"261","17/09/1972 08:55:00",1972-09-17,9.144,0,9.144,9.144,"","good","",1972
"262","18/09/1972 08:55:00",1972-09-18,0,0,0,0,"","good","",1972
"263","19/09/1972 08:55:00",1972-09-19,0,0,0,0,"","good","",1972
"264","20/09/1972 08:55:00",1972-09-20,11.43,0,11.43,11.43,"","good","",1972
"265","21/09/1972 08:55:00",1972-09-21,18.542,0,18.542,18.542,"","good","",1972
"266","22/09/1972 08:55:00",1972-09-22,0,0,0,0,"","good","",1972
"267","23/09/1972 08:55:00",1972-09-23,1.27,0,1.27,1.27,"","good","",1972
"268","24/09/1972 08:55:00",1972-09-24,28.448,0,28.448,28.448,"","good","",1972
"269","25/09/1972 08:55:00",1972-09-25,1.27,0,1.27,1.27,"","good","",1972
"270","26/09/1972 08:55:00",1972-09-26,4.572,0,4.572,4.572,"","good","",1972
"271","27/09/1972 08:55:00",1972-09-27,8.382,0,8.382,8.382,"","good","",1972
"272","28/09/1972 08:55:00",1972-09-28,39.37,0,39.37,39.37,"","good","",1972
"273","29/09/1972 08:55:00",1972-09-29,0,0,0,0,"","good","",1972
